date,growth
2017-10-17,85
2017-10-18,82
2017-10-19,150
2017-10-20,143
2017-10-21,143
2017-10-22,143
2017-10-23,132
2017-10-24,215
2017-10-25,187
2017-10-26,98
2017-10-27,98
2017-10-28,99
2017-10-29,99
2017-10-30,135
2017-10-31,135
2017-11-01,135
2017-11-02,135
2017-11-03,138
2017-11-04,115
2017-11-05,115
2017-11-05,115
2017-11-06,115
2017-11-07,115
2017-11-08,115
2017-11-09,115
2017-11-10,115
2017-11-11,115
2017-11-12,115
2017-11-13,115
2017-11-14,115
2017-11-15,115
2017-11-16,115
2017-11-17,115
2017-11-18,115
2017-11-19,115
2017-11-20,115
2017-11-21,115
2017-11-22,115
2017-11-23,115
2017-11-25,131
2017-11-26,125
2017-11-27,125
2017-11-28,125
2017-11-29,125
2017-11-30,127
2017-12-01,198
2017-12-02,198
2017-12-03,198
2017-12-04,198
2017-12-05,198
2017-12-06,198
2017-12-07,198
2017-12-08,198
2017-12-09,198
2017-12-10,198
2017-12-11,198
2017-12-12,198
2017-12-13,198
2017-12-14,198
2017-12-15,198
2017-12-16,198
2017-12-17,198
2017-12-18,198
2017-12-19,198
2017-12-20,198
2017-12-21,198
2017-12-22,198
2017-12-23,198
2017-12-24,200
2017-12-25,115
2017-12-26,115
2017-12-27,115
2017-12-28,115
2017-12-29,115
2017-12-30,115
2017-12-31,115
2018-01-01,115
2018-01-02,115
2018-01-03,115
2018-01-04,115
2018-01-05,115
2018-01-06,115
2018-01-07,121
2018-01-08,161
2018-01-09,161
